"Path","Type","Physical","Git","HEAD","Branch","Refs","Commits","Merges","Dirty","SensitivePathPhysical","SensitivePathHistory","SensitivePathReachable","KnownBlobReachable","KnownBlobPhysical","UniqueData","Role","Disposition"
"C:/Users/samsung/StudioProjects/semisemifinal","working repository","YES","YES","270124f2e930efcf575c5af87d75f967f4c8a7e3","release/grok45-production-readiness-final","65","291","84","63 tracked + 119 untracked","YES","1","1","1","1","YES","original active WIP","ACTIVE_WIP_CONTAMINATED_REPOSITORY"
"C:/Users/samsung/StudioProjects/semisemifinal/.codex-worktrees/dead-code-cleanup-20260804","linked worktree","YES","YES","01d7a245...","chore/dead-code-cleanup-20260804","65","291","84","0 tracked","YES","1","1","1","1","possible","cleanup worktree","CONTAMINATED_GIT_BACKUP_WITH_UNIQUE_REFS"
"C:/Users/samsung/StudioProjects/semisemifinal/dating-app","nested repository","YES","YES","4682a7d85aed24c407b79499dcd265d3b897a32f","main","44","193","77","2 tracked","NO","1","1","1","1","YES","nested copy with unique history","NEEDS_OWNER_REVIEW"
"C:/tmp/seolleyeon-phase6p7a-20260806-172208/source/local-source.git","bare mirror","YES","YES","multiple refs","n/a","65","291","84","n/a","n/a","1","1","1","1","source history","CONTAMINATED_REHEARSAL_SOURCE"
"C:/tmp/seolleyeon-phase6p7a-20260806-172208/candidate/local-recovery.git","bare candidate","YES","YES","multiple refs","n/a","65","291","84","n/a","NO","0","0","0","1","mapped recovery","SANITIZED_REHEARSAL_CANDIDATE"
"C:/tmp/seolleyeon-phase6p7a-20260806-172208/candidate/clean-local-recovery.git","fresh bare clone","YES","YES","multiple refs","n/a","65","291","84","n/a","NO","0","0","0","0","mapped recovery","SANITIZED_CANONICAL_COPY"
"C:/tmp/seolleyeon-phase6p7a-20260806-172208/clean-wip/checkout","clean WIP checkout","YES","YES","bace49427581e401dc2deafba258e28d2211179d","release/grok45-production-readiness-final","equivalent branch","291","84","reconstructed 180 paths","NO","0","0","0","0","WIP delta","SANITIZED_CANONICAL_COPY"
"C:/tmp/seolleyeon-phase6p-rehearsal-20260805-175013/mirror.git","bare mirror","YES","YES","multiple refs","n/a","65","291","84","n/a","n/a","1","1","1","1","no unique data proven","CONTAMINATED_GIT_BACKUP_REDUNDANT"
"C:/tmp/seolleyeon-phase6p-rehearsal-20260805-175013/mirror-full.git","bare mirror","YES","YES","multiple refs","n/a","58","261","69","n/a","NO","0","0","0","0","redundant","SANITIZED_CANONICAL_COPY"
"C:/tmp/seolleyeon-phase6p-local-remediation-20260805-190229/rewrite-mirror.git","bare mirror","YES","YES","multiple refs","n/a","58","261","69","n/a","NO","0","0","0","0","old candidate","CONTAMINATED_GIT_BACKUP_REDUNDANT"
"C:/tmp/seolleyeon-phase6p-local-remediation-20260805-190229/rewrite-mirror-allrefs.git","bare mirror","YES","YES","multiple refs","n/a","65","262","69","n/a","NO","0","0","0","0","old candidate","CONTAMINATED_GIT_BACKUP_REDUNDANT"
"C:/tmp/seolleyeon-phase6p-local-remediation-20260805-190229/sanitized-canonical.git","bare mirror","YES","YES","multiple refs","n/a","65","262","69","n/a","NO","0","0","0","0","historical sanitized candidate","KEEP_SECURITY_EVIDENCE"
"C:/tmp/seolleyeon-phase6p-local-remediation-20260805-190229/sanitized-worktree","worktree","YES","YES","f141ecc1403b9ff9e26f422fbccffa1fe73abe54","chore/...","1","236","68","1 tracked","NO","0","0","0","0","historical WIP","KEEP_SECURITY_EVIDENCE"
"C:/tmp/seolleyeon-phase6p6-remote-remediation-20260805-203345/remote-inspection.git","bare mirror","YES","YES","multiple refs","n/a","45","253","82","n/a","n/a","1","1","1","1","remote source","CONTAMINATED_REMOTE_INSPECTION_SOURCE"
"C:/tmp/seolleyeon-phase6p6r-refresh-rehearsal-20260805-211250/source-mirror.git","bare mirror","YES","YES","multiple refs","n/a","45","253","82","n/a","n/a","1","1","1","1","remote source","CONTAMINATED_REMOTE_INSPECTION_SOURCE"
"C:/tmp/seolleyeon-phase6p6r-refresh-rehearsal-20260805-211250/rewrite-mirror*.git","grouped bare mirrors","YES","YES","multiple refs","n/a","45","224","67","n/a","NO","0","0","0","0","failed candidates","CONTAMINATED_GIT_BACKUP_REDUNDANT"
"C:/tmp/seolleyeon-phase6p6t-topology-20260805-223229/verification-custom-b.git","bare mirror","YES","YES","multiple refs","n/a","45","253","82","n/a","NO","0","0","0","0","verification evidence","KEEP_SECURITY_EVIDENCE"
"C:/tmp/seolleyeon-phase6p6r2-20260806-002233/remote-source.git","bare mirror","YES","YES","multiple refs","n/a","45","253","82","n/a","n/a","1","1","1","1","Method B source evidence","KEEP_SECURITY_EVIDENCE"
"C:/tmp/seolleyeon-phase6p6r2-20260806-002233/rewrite-candidate.git","bare candidate","YES","YES","multiple refs","n/a","45","253","82","n/a","NO","0","0","0","1","old candidate object retained","KEEP_SECURITY_EVIDENCE"
"C:/tmp/seolleyeon-phase6p6r2-20260806-002233/candidate-main-checkout","worktree","YES","YES","cdc...","main","2","232","82","1 tracked","NO","0","0","0","0","historical candidate","KEEP_SECURITY_EVIDENCE"
"C:/tmp/seolleyeon-phase6p6r2-20260806-002233/source-main-checkout","worktree","YES","YES","ad834...","main","2","232","82","1 tracked","YES","1","1","1","1","historical source","KEEP_SECURITY_EVIDENCE"
"C:/tmp/seolleyeon-phase6p6a-remote-verify-20260806-150000","verification mirror","YES","YES","multiple refs","n/a","98","282","86","n/a","n/a","1","1","1","1","53 non-ordinary refs","KEEP_SECURITY_EVIDENCE"
"C:/tmp/seolleyeon-phase6p6a-remote-verify-final-20260806-150000","verification mirror","YES","YES","multiple refs","n/a","98","282","86","n/a","n/a","1","1","1","1","53 non-ordinary refs","KEEP_SECURITY_EVIDENCE"
"C:/tmp/seolleyeon-dead-code-backup-20260804-060225","plain filesystem backup","YES","NO","n/a","n/a","n/a","n/a","n/a","n/a","NO","n/a","n/a","n/a","n/a","WIP diff/manifests","PLAIN_FILESYSTEM_BACKUP_CONTAMINATED"
"C:/tmp/festival-cleanup-lib","plain directory","YES","NO","n/a","n/a","n/a","n/a","n/a","n/a","NO","n/a","n/a","n/a","n/a","owner not proven","UNKNOWN"
"C:/tmp/seolleyeon_pr85_normalized_preview","plain directory","YES","NO","n/a","n/a","n/a","n/a","n/a","n/a","NO","n/a","n/a","n/a","n/a","owner not proven","UNKNOWN"
